Audience Segment,Audience1,Audience2,Audience3,Audience4,Audience5,Audience6,Audience7,Creative Size,Creative Messaging,Location,City,State,URL,Publisher,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Conversions,Gross Cost,322,CPC  (Gross Cost/Clicks),CPA (Cost/Conversions),CPM,CVR (Conversion/Clicks),CTR (Clicks/Impressions),Viewability
US>Demo>Age>18+,US,Demo,Age,18+,,,,300x250,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,mlive.com,Mlive,Google Ad Manager,Windows PC,"3,762.00",0,"1,562.00","2,423.00",15,"$3,453.14",,0,$230.21,$917.90,0.00%,0.00%,64.47%
US>Reach>Propensity Models>Hobbies and Interest>Music>Streaming,US,Reach,Propensity Models,Hobbies and Interest,Music,Streaming,,320x50,Subscribe Today - 10% Discount,"Chattanooga,Tennessee",Chattanooga,Tennessee,mail.aol.com,Mail,Magnite DV+,Smartphone,"15,399.00",0,"3,398.00","4,324.00",1,"$3,434.73",,0,"$3,434.73",$223.05,0.00%,0.00%,78.58%
Online Behavior>United States>B2B>Occupation>Recruiter,Online Behavior,United States,B2B,Occupation,Recruiter,,,320x50,Sign up Now - 10% Off,"Tallahassee,Florida-Thomasville,Georgia",#REF!,,pcmag.com,Pcmag,TripleLift,Smartphone,"2,328.00",0,"1,400.00","2,171.00",2,"$3,424.01",,0,"$1,712.00","$1,470.79",0.00%,0.00%,64.49%
"Online Behavior>United States>Autos and Vehicles>Vehicle Shopping>Vehicle Specs, Reviews and Comparisons",Online Behavior,United States,Autos and Vehicles,Vehicle Shopping,"Vehicle Specs, Reviews and Comparisons",,,300x250,Sign up Today - 10% Off,"Knoxville,Tennessee",Knoxville,Tennessee,demilked.com,Demilked,BidSwitch,Windows PC,"2,230.00",0,97.00,356.00,2,"$3,368.71",,0,"$1,684.36","$1,510.63",0.00%,0.00%,27.25%
Online Behavior>United States>Validated Demographic>Age>45-54,Online Behavior,United States,Validated Demographic,Age,45-54,,,300x250,Subscribe Today - 10% Discount,"Memphis,Tennessee",Memphis,Tennessee,classmates.com,Classmates,Magnite DV+,Windows PC,"3,290.00",0,"1,847.00","2,887.00",1,"$3,357.08",,0,"$3,357.08","$1,020.39",0.00%,0.00%,63.98%
US>Reach>Propensity Models>Lifestyle>Loyalty Programs>Hotel Guest Loyalty Program,US,Reach,Propensity Models,Lifestyle,Loyalty Programs,Hotel Guest Loyalty Program,,320x50,10% Discount - Ends 6/1,"Los Angeles,California",Los Angeles,California,mychicagosteak.com,Mychicagosteak,Google Ad Manager,Smartphone,19.00,0,7.00,19.00,2,"$3,264.01",,0,"$1,632.01","$171,790.22",0.00%,0.00%,36.84%
US>Reach>Sociodemographic>Education Level>Some College,US,Reach,Sociodemographic,Education Level,Some College,,,320x50,Sign up Today - 10% Off,"New York City,New York",New York City,New York,mymichiganbeach.com,Mymichiganbeach,Google Ad Manager,Smartphone,60.00,0,45.00,59.00,3,"$3,178.00",,0,"$1,059.33","$52,966.61",0.00%,0.00%,76.27%
US>Reach>Propensity Models>Travel>High Frequency Travel>Cruise Enthusiast,US,Reach,Propensity Models,Travel,High Frequency Travel,Cruise Enthusiast,,300x250,Sign up Today - 10% Off,"New York City,New York",New York City,New York,lazyadmin.nl,Lazyadmin,BidSwitch,Windows PC,988.00,0,572.00,675.00,13,"$3,114.28",,0,$239.56,"$3,152.10",0.00%,0.00%,84.74%
Online Behavior>United States>Autos and Vehicles>Brands>Tesla,Online Behavior,United States,Autos and Vehicles,Brands,Tesla,,,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,whitepages.com,Whitepages,Yahoo Exchange,Smartphone,"2,770.00",0,"1,248.00","1,958.00",26,"$3,094.73",,0,$119.03,"$1,117.23",0.00%,0.00%,63.74%
Online Behavior>United States>Finance>Accounting and Auditing>Billing and Invoicing,Online Behavior,United States,Finance,Accounting and Auditing,Billing and Invoicing,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,downdetector.com,Downdetector,Magnite DV+,Smartphone,775.00,0,173.00,716.00,6,"$2,997.18",,0,$499.53,"$3,867.33",0.00%,0.00%,24.16%
Online Behavior>United States>B2B>Occupation>OfficeManager,Online Behavior,United States,B2B,Occupation,OfficeManager,,,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,dafont.com,Dafont,BidSwitch,Windows PC,"24,464.00",0,"3,275.00","21,993.00",2,"$2,959.11",,0,"$1,479.56",$120.96,0.00%,0.00%,14.89%
US>Reach>Propensity Models>Hobbies and Interest>Photography,US,Reach,Propensity Models,Hobbies and Interest,Photography,,,300x250,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,boattrader.com,Boattrader,BidSwitch,Smartphone,"20,278.00",0,"14,227.00","19,480.00",3,"$2,921.11",,0,$973.70,$144.05,0.00%,0.00%,73.03%
Online Behavior>United States>Travel>Specialty Travel>Ecotourism,Online Behavior,United States,Travel,Specialty Travel,Ecotourism,,,320x50,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,biblegateway.com,Biblegateway,Index Exchange,Smartphone,"3,219.00",0,"2,025.00","2,551.00",2,"$2,896.59",,0,"$1,448.30",$899.84,0.00%,0.00%,79.38%
US>Reach>Sociodemographic>Education Level>High School Diploma,US,Reach,Sociodemographic,Education Level,High School Diploma,,,300x250,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,my.earthlink.net,My,PubMatic,Smartphone,5.00,0,0.00,4.00,8,"$2,872.58",,0,$359.07,"$574,515.07",0.00%,0.00%,0.00%
US>Reach>Sociodemographic>Education Level>Less than High School Diploma,US,Reach,Sociodemographic,Education Level,Less than High School Diploma,,,320x50,Sign up Now - 10% Off,"Knoxville,Tennessee",Knoxville,Tennessee,digitaltrends.com,Digitaltrends,Magnite DV+,Smartphone,29.00,0,18.00,20.00,24,"$2,870.20",,0,$119.59,"$98,972.55",0.00%,0.00%,90.00%
US>Reach>Propensity Models>Lifestyle>Video Gamer,US,Reach,Propensity Models,Lifestyle,Video Gamer,,,320x50,Sign up Today - 10% Off,"Los Angeles,California",Los Angeles,California,newatlas.com,Newatlas,Google Ad Manager,Smartphone,25.00,0,20.00,24.00,15,"$2,834.46",,0,$188.96,"$113,378.42",0.00%,0.00%,83.33%
US>Reach>Propensity Models>Finance>Brokerage Account Owner,US,Reach,Propensity Models,Finance,Brokerage Account Owner,,,300x250,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,dailybee.com,Dailybee,BidSwitch,Windows PC,876.00,0,500.00,659.00,11,"$2,759.37",,0,$250.85,"$3,149.96",0.00%,0.00%,75.87%
Online Behavior>United States>B2B>Occupation>Finance,Online Behavior,United States,B2B,Occupation,Finance,,,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,mondestuff.com,Mondestuff,Google Ad Manager,Windows PC,261.00,0,178.00,221.00,21,"$2,730.11",,0,$130.01,"$10,460.19",0.00%,0.00%,80.54%
US>B2B>B2B Decision Maker Responsibilities>Maintenance Services,US,B2B,B2B Decision Maker Responsibilities,Maintenance Services,,,,320x50,Subscribe Today - 10% Discount,"Memphis,Tennessee",Memphis,Tennessee,lifewire.com,Lifewire,Google Ad Manager,Smartphone,"3,489.00",0,"2,061.00","3,281.00",19,"$2,723.56",,0,$143.35,$780.61,0.00%,0.00%,62.82%
US>Reach>Propensity Models>Hobbies and Interest>Sports>Plays Golf,US,Reach,Propensity Models,Hobbies and Interest,Sports,Plays Golf,,320x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,crunchycreamysweet.com,Crunchycreamysweet,Taboola,Smartphone,33.00,0,9.00,28.00,3,"$2,720.33",,0,$906.78,"$82,434.12",0.00%,0.00%,32.14%
US>Reach>Propensity Models>Finance>Investor,US,Reach,Propensity Models,Finance,Investor,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,collider.com,Collider,Google Ad Manager,Smartphone,"2,203.00",0,"1,479.00","2,087.00",10,"$2,677.31",,0,$267.73,"$1,215.30",0.00%,0.00%,70.87%
US>Reach>Propensity Models>Lifestyle>Retired>Have Retirement Financial Plan,US,Reach,Propensity Models,Lifestyle,Retired,Have Retirement Financial Plan,,320x50,Sign up Now - 10% Off,"Jacksonville,Florida",Jacksonville,Florida,breakingbourbon.com,Breakingbourbon,Google Ad Manager,Smartphone,54.00,0,29.00,43.00,3,"$2,649.56",,0,$883.19,"$49,065.85",0.00%,0.00%,67.44%
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity),Media and Entertainment,Sports and Recreational Activities,Interest (Affinity),,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,cheapoair.com,Cheapoair,Google Ad Manager,Smartphone,"14,581.00",0,"6,970.00","8,882.00",4,"$2,636.20",,0,$659.05,$180.80,0.00%,0.00%,78.47%
US>Reach>Propensity Models>Hobbies and Interest>Music>Listens to Rock Music,US,Reach,Propensity Models,Hobbies and Interest,Music,Listens to Rock Music,,320x50,Sign up Today - 10% Off,"Los Angeles,California",Los Angeles,California,southernliving.com,Southernliving,Google Ad Manager,Smartphone,"3,183.00",0,"2,051.00","3,028.00",4,"$2,568.19",,0,$642.05,$806.84,0.00%,0.00%,67.73%
US>Reach>Propensity Models>Online>Travel,US,Reach,Propensity Models,Online,Travel,,,320x50,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,androidauthority.com,Androidauthority,Google Ad Manager,Smartphone,"3,336.00",0,"1,516.00","2,892.00",4,"$2,526.45",,0,$631.61,$757.33,0.00%,0.00%,52.42%
Travel,Travel,,,,,,,300x250,Sign up Now - 10% Off,"New York City,New York",New York City,New York,thesprucecrafts.com,Thesprucecrafts,Index Exchange,Windows PC,594.00,0,320.00,563.00,2,"$2,459.09",,0,"$1,229.54","$4,139.88",0.00%,0.00%,56.84%
US>Demographic>Work at Home,US,Demographic,Work at Home,,,,,300x250,Subscribe Today - 10% Discount,"Nashville,Tennessee",Nashville,Tennessee,exploredplanet.com,Exploredplanet,Google Ad Manager,Windows PC,"3,786.00",0,"2,713.00","3,473.00",2,"$2,397.62",,0,"$1,198.81",$633.29,0.00%,0.00%,78.12%
US>Reach>Propensity Models>Online>Home Maintenance,US,Reach,Propensity Models,Online,Home Maintenance,,,320x50,10% Discount - Ends 6/1,"Los Angeles,California",Los Angeles,California,sportsnaut.com,Sportsnaut,Index Exchange,Smartphone,948.00,0,94.00,749.00,15,"$2,389.12",,0,$159.27,"$2,520.17",0.00%,0.00%,12.55%
US>Specialty Shopper Audience,US,Specialty Shopper Audience,,,,,,300x250,Subscribe Today - 10% Discount,"Ft. Myers-Naples,Florida",Ft. Myers-Naples,Florida,financialpanther.com,Financialpanther,Index Exchange,Smartphone,32.00,0,20.00,29.00,16,"$2,366.66",,0,$147.92,"$73,958.12",0.00%,0.00%,68.97%
US>Reach>Sociodemographic>Marital Status>Single,US,Reach,Sociodemographic,Marital Status,Single,,,320x50,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,cheatdaydesign.com,Cheatdaydesign,Google Ad Manager,Smartphone,60.00,0,33.00,53.00,3,"$2,358.41",,0,$786.14,"$39,306.85",0.00%,0.00%,62.26%
US>B2B>B2B Decision Maker Responsibilities>Travel or Transportation,US,B2B,B2B Decision Maker Responsibilities,Travel or Transportation,,,,300x250,Sign up Today - 10% Off,"New York City,New York",New York City,New York,instantlymodern.com,Instantlymodern,OpenX,Windows PC,766.00,0,380.00,557.00,2,"$2,349.26",,0,"$1,174.63","$3,066.92",0.00%,0.00%,68.22%
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Team Sports,Media and Entertainment,Sports and Recreational Activities,Interest (Affinity),Team Sports,,,,320x50,Sign up Now - 10% Off,"New York City,New York",New York City,New York,golfmk7.com,Golfmk7,Magnite DV+,Smartphone,343.00,0,239.00,322.00,3,"$2,300.50",,0,$766.83,"$6,707.01",0.00%,0.00%,74.22%
US>B2B>B2B Decision Maker Responsibilities>Telecommunications,US,B2B,B2B Decision Maker Responsibilities,Telecommunications,,,,300x250,Sign up Now - 10% Off,"New York City,New York",New York City,New York,yellowpages.com,Yellowpages,Google Ad Manager,Windows PC,665.00,0,236.00,504.00,2,"$2,294.49",,0,"$1,147.24","$3,450.36",0.00%,0.00%,46.83%
US>Digital Consumer Audience,US,Digital Consumer Audience,,,,,,320x50,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,coindesk.com,Coindesk,Google Ad Manager,Smartphone,"1,163.00",0,924.00,"1,092.00",2,"$2,284.35",,0,"$1,142.17","$1,964.19",0.00%,0.00%,84.62%
US>Premium Gender>Premium Gender>Females,US,Premium Gender,Premium Gender,Females,,,,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,usssa.com,Usssa,Google Ad Manager,Smartphone,"4,283.00",0,"3,231.00","4,078.00",11,"$2,253.75",,0,$204.89,$526.21,0.00%,0.00%,79.23%
US>Reach>Propensity Models>Hobbies and Interest>Sports>NASCAR Enthusiast,US,Reach,Propensity Models,Hobbies and Interest,Sports,NASCAR Enthusiast,,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,mail.yahoo.com,Mail,Google Ad Manager,Smartphone,"12,988.00",0,"6,514.00","9,378.00",1,"$2,236.49",,0,"$2,236.49",$172.20,0.00%,0.00%,69.46%
US>Brand Propensities>Media and Entertainment>iTunes Buyer Propensity,US,Brand Propensities,Media and Entertainment,iTunes Buyer Propensity,,,,300x50,Subscribe Today - 10% Discount,"Jacksonville,Florida",Jacksonville,Florida,fox5atlanta.com,Fox5Atlanta,BidSwitch,Smartphone,"2,704.00",0,579.00,"2,184.00",11,"$2,202.35",,0,$200.21,$814.48,0.00%,0.00%,26.51%
Online Behavior>United States>B2B>Occupation>MechanicalEngineer,Online Behavior,United States,B2B,Occupation,MechanicalEngineer,,,320x50,Sign up Today - 10% Off,"Orlando-Daytona Beach,Florida",Orlando-Daytona Beach,Florida,bbc.com,Bbc,Google Ad Manager,Smartphone,"17,752.00",0,"5,855.00","15,753.00",1,"$2,200.30",,0,"$2,200.30",$123.95,0.00%,0.00%,37.17%
US>Interest Propensities>TV and Movies>Daytime TV,US,Interest Propensities,TV and Movies,Daytime TV,,,,300x250,10% Discount - Ends 6/1,"Chattanooga,Tennessee",Chattanooga,Tennessee,variety.com,Variety,Magnite DV+,Smartphone,177.00,0,80.00,155.00,10,"$2,192.56",,0,$219.26,"$12,387.35",0.00%,0.00%,51.61%
"US>Reach>Sociodemographic>Estimated Current Home Value>$100,000-$159,999",US,Reach,Sociodemographic,Estimated Current Home Value,"$100,000-$159,999",,,300x250,10% Discount - Ends 6/1,"Ft. Myers-Naples,Florida",Ft. Myers-Naples,Florida,atlantamagazine.com,Atlantamagazine,Xandr - Monetize SSP (AppNexus),Windows PC,31.00,0,24.00,29.00,2,"$2,180.67",,0,"$1,090.34","$70,344.34",0.00%,0.00%,82.76%
Media and Entertainment>Music,Media and Entertainment,Music,,,,,,300x250,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,cnn.com,Cnn,Yahoo Exchange,Smartphone,"45,402.00",0,"17,284.00","27,542.00",3,"$2,163.27",,0,$721.09,$47.65,0.00%,0.00%,62.76%
US>Interest Propensities>TV and Movies>Horror and Suspense,US,Interest Propensities,TV and Movies,Horror and Suspense,,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,doodle.com,Doodle,Google Ad Manager,Smartphone,"7,220.00",0,"4,201.00","6,207.00",1,"$2,148.23",,0,"$2,148.23",$297.54,0.00%,0.00%,67.68%
Media and Entertainment>Audio and Video Streaming>Streaming Video>Interest (Affinity)>Streaming Services,Media and Entertainment,Audio and Video Streaming,Streaming Video,Interest (Affinity),Streaming Services,,,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach,Florida",Orlando-Daytona Beach,Florida,yahoo.com,Yahoo,Google Ad Manager,Apple PC,"17,049.00",0,191.00,"15,564.00",15,"$2,144.49",,0,$142.97,$125.78,0.00%,0.00%,1.23%
OnAudience>Intent,OnAudience,Intent,,,,,,320x50,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,slickdeals.net,Slickdeals,Google Ad Manager,Smartphone,"19,212.00",0,"6,872.00","14,248.00",10,"$2,133.08",,0,$213.31,$111.03,0.00%,0.00%,48.23%
US>Interest Propensities>TV and Movies>Reality>Game Shows,US,Interest Propensities,TV and Movies,Reality,Game Shows,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,nbcsports.com,Nbcsports,Index Exchange,Smartphone,"15,047.00",0,"5,653.00","14,459.00",1,"$2,127.50",,0,"$2,127.50",$141.39,0.00%,0.00%,39.10%
US>Reach>Propensity Models>Hobbies and Interest>Sports>Outdoor Enthusiast,US,Reach,Propensity Models,Hobbies and Interest,Sports,Outdoor Enthusiast,,300x250,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,expertphotography.com,Expertphotography,Google Ad Manager,Windows PC,11.00,0,0.00,11.00,2,"$2,119.76",,0,"$1,059.88","$192,705.91",0.00%,0.00%,0.00%
OnAudience>Interest>Hobbies & Interests,OnAudience,Interest,Hobbies & Interests,,,,,320x50,Subscribe Today - 10% Discount,"Nashville,Tennessee",Nashville,Tennessee,iheart.com,Iheart,Google Ad Manager,Smartphone,145.00,0,88.00,115.00,15,"$2,088.95",,0,$139.26,"$14,406.57",0.00%,0.00%,76.52%
US>B2B>B2B Decision Maker Responsibilities>Shipping or Mail Services,US,B2B,B2B Decision Maker Responsibilities,Shipping or Mail Services,,,,320x50,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,whitepages.com,Whitepages,BidSwitch,Smartphone,603.00,0,461.00,519.00,2,"$2,075.87",,0,"$1,037.94","$3,442.58",0.00%,0.00%,88.82%
US>Multibuyer Behaviors>Multibuyer Behaviors,US,Multibuyer Behaviors,Multibuyer Behaviors,,,,,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,bgr.com,Bgr,Google Ad Manager,Smartphone,10.00,0,3.00,10.00,2,"$2,063.92",,0,"$1,031.96","$206,391.59",0.00%,0.00%,30.00%
US>Reach>Propensity Models>Lifestyle>Devices>Mobile Users,US,Reach,Propensity Models,Lifestyle,Devices,Mobile Users,,300x250,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,screenrant.com,Screenrant,Google Ad Manager,Windows PC,"4,857.00",0,"3,302.00","4,518.00",2,"$2,055.33",,0,"$1,027.67",$423.17,0.00%,0.00%,73.09%
US>Interest Propensities>Food and Drink>Chinese Cuisine,US,Interest Propensities,Food and Drink,Chinese Cuisine,,,,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,hellolittlehome.com,Hellolittlehome,PubMatic,Smartphone,2.00,0,0.00,1.00,2,"$2,036.07",,0,"$1,018.03","$1,018,034.04",0.00%,0.00%,0.00%
Media and Entertainment>News and Current Events>Online News Websites,Media and Entertainment,News and Current Events,Online News Websites,,,,,320x50,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo,Michigan",Grand Rapids-Kalamazoo,Michigan,newsharper.com,Newsharper,TripleLift,Smartphone,"16,288.00",0,"5,304.00","10,731.00",1,"$2,030.14",,0,"$2,030.14",$124.64,0.00%,0.00%,49.43%
US>Reach>Sociodemographic>Age>40-44,US,Reach,Sociodemographic,Age,40-44,,,320x50,Sign up Today - 10% Off,"New York City,New York",New York City,New York,community.spiceworks.com,Community,Google Ad Manager,Smartphone,58.00,0,45.00,57.00,3,"$2,016.51",,0,$672.17,"$34,767.39",0.00%,0.00%,78.95%
US>B2B>B2B Decision Maker Responsibilities>Accounting or Tax Services,US,B2B,B2B Decision Maker Responsibilities,Accounting or Tax Services,,,,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,doodle.com,Doodle,Google Ad Manager,Smartphone,"12,606.00",0,"8,332.00","11,170.00",3,"$2,002.54",,0,$667.51,$158.86,0.00%,0.00%,74.59%
US>Interest Propensities>Music>Metal,US,Interest Propensities,Music,Metal,,,,300x250,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,thewindowsclub.com,Thewindowsclub,BidSwitch,Windows PC,"3,867.00",0,78.00,223.00,2,"$1,992.00",,0,$996.00,$515.13,0.00%,0.00%,34.98%
US>B2B>B2B Decision Maker Responsibilities>Office Supplies or Equipment,US,B2B,B2B Decision Maker Responsibilities,Office Supplies or Equipment,,,,300x250,Sign up Today - 10% Off,"Los Angeles,California",Los Angeles,California,ebay.com,Ebay,Google Ad Manager,Windows PC,"55,692.00",0,"3,596.00","51,209.00",11,"$1,981.05",,0,$180.10,$35.57,0.00%,0.00%,7.02%
US>Interest Propensities>TV and Movies>Family>Animated,US,Interest Propensities,TV and Movies,Family,Animated,,,300x250,Sign up Today - 10% Off,"Augusta,Georgia",Augusta,Georgia,brickseek.com,Brickseek,Magnite DV+,Windows PC,849.00,0,249.00,623.00,2,"$1,974.57",,0,$987.28,"$2,325.76",0.00%,0.00%,39.97%
US>Multibuyer Behaviors>Merchandise Buyers,US,Multibuyer Behaviors,Merchandise Buyers,,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,accuweather.com,Accuweather,Magnite DV+,Windows PC,"4,231.00",0,"1,168.00","3,589.00",1,"$1,972.70",,0,"$1,972.70",$466.25,0.00%,0.00%,32.54%
Real Estate>Ownership Status>Owner,Real Estate,Ownership Status,Owner,,,,,320x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,economictimes.indiatimes.com,Economictimes,Sharethrough,Smartphone,237.00,0,100.00,173.00,4,"$1,971.26",,0,$492.81,"$8,317.55",0.00%,0.00%,57.80%
US>B2B>B2B Decision Maker Responsibilities>Raw Materials or Components,US,B2B,B2B Decision Maker Responsibilities,Raw Materials or Components,,,,320x50,Sign up Now - 10% Off,"Augusta,Georgia",Augusta,Georgia,foodnetwork.com,Foodnetwork,BidSwitch,Smartphone,"3,559.00",0,757.00,"3,290.00",21,"$1,960.82",,0,$93.37,$550.95,0.00%,0.00%,23.01%
Telecommunications (Telco)>Subscribers>Cable and Internet Service Providers (ISPs),Telecommunications (Telco),Subscribers,Cable and Internet Service Providers (ISPs),,,,,300x250,10% Discount - Ends 6/1,"Orlando-Daytona Beach,Florida",Orlando-Daytona Beach,Florida,macworld.com,Macworld,BidSwitch,Smartphone,611.00,0,335.00,575.00,4,"$1,953.47",,0,$488.37,"$3,197.17",0.00%,0.00%,58.26%
US>Sociodemographic>PRIZM Premier Lifestage>F1 Accumulated Wealth,US,Sociodemographic,PRIZM Premier Lifestage,F1 Accumulated Wealth,,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,wfla.com,Wfla,OpenX,Windows PC,32.00,0,2.00,9.00,2,"$1,948.73",,0,$974.36,"$60,897.73",0.00%,0.00%,22.22%
US>Reach>Propensity Models>Hobbies and Interest>Pets>Cat Owners,US,Reach,Propensity Models,Hobbies and Interest,Pets,Cat Owners,,300x250,Sign up Today - 10% Off,"Los Angeles,California",Los Angeles,California,ebay.com,Ebay,BidSwitch,Apple PC,"63,460.00",0,"26,978.00","59,516.00",2,"$1,945.43",,0,$972.72,$30.66,0.00%,0.00%,45.33%
US>Reach>Propensity Models>Real Estate>Monthly Mortgage Payment>$800-$999,US,Reach,Propensity Models,Real Estate,Monthly Mortgage Payment,$800-$999,,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,cbsnews.com,Cbsnews,Index Exchange,Apple PC,"13,075.00",0,"5,980.00","12,114.00",15,"$1,936.13",,0,$129.08,$148.08,0.00%,0.00%,49.36%
OnAudience>Interest>Technology & Computing,OnAudience,Interest,Technology & Computing,,,,,300x50,10% Discount - Ends 6/1,"Flint-Saginaw-Bay City,Michigan",Flint-Saginaw-Bay City,Michigan,wunderground.com,Wunderground,PubMatic,Smartphone,"23,410.00",0,"13,626.00","22,109.00",1,"$1,930.18",,0,"$1,930.18",$82.45,0.00%,0.00%,61.63%
US>Reach>Propensity Models>Online>Lawn and Garden,US,Reach,Propensity Models,Online,Lawn and Garden,,,300x250,10% Discount - Ends 6/1,"Los Angeles,California",Los Angeles,California,speedof.me,Speedof,Google Ad Manager,Smartphone,24.00,0,21.00,23.00,12,"$1,927.16",,0,$160.60,"$80,298.52",0.00%,0.00%,91.30%
Mobile - US>Device Ownership>Tablets>iOS (Apple)>yes,Mobile - US,Device Ownership,Tablets,iOS (Apple),yes,,,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,yachtworld.com,Yachtworld,BidSwitch,Windows PC,63.00,0,44.00,58.00,9,"$1,926.82",,0,$214.09,"$30,584.48",0.00%,0.00%,75.86%
US>Brand Propensities>Media and Entertainment>pokerstars.net Buyer Propensity,US,Brand Propensities,Media and Entertainment,pokerstars.net Buyer Propensity,,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,yellowpages.com,Yellowpages,Index Exchange,Smartphone,"61,227.00",0,"10,434.00","53,104.00",8,"$1,919.55",,0,$239.94,$31.35,0.00%,0.00%,19.65%
Lotame>Technology,Lotame,Technology,,,,,,320x50,Subscribe Today - 10% Discount,"San Francisco,California",San Francisco,California,m.timesofindia.com,M,Google Ad Manager,Smartphone,"9,059.00",0,589.00,"7,480.00",1,"$1,908.53",,0,"$1,908.53",$210.68,0.00%,0.00%,7.87%
OnAudience>Interest>Sport fans,OnAudience,Interest,Sport fans,,,,,300x250,Sign up Today - 10% Off,"San Francisco,California",San Francisco,California,wikihow.com,Wikihow,Google Ad Manager,Windows PC,176.00,0,75.00,136.00,24,"$1,907.87",,0,$79.49,"$10,840.18",0.00%,0.00%,55.15%
US>Brand Propensities>Electronics>Crutchfield Buyer Propensity,US,Brand Propensities,Electronics,Crutchfield Buyer Propensity,,,,300x250,Sign up Today - 10% Off,"Los Angeles,California",Los Angeles,California,signin.ebay.com,Signin,TripleLift,Smartphone,"8,437.00",0,"5,271.00","7,065.00",1,"$1,880.53",,0,"$1,880.53",$222.89,0.00%,0.00%,74.61%
US>Channel Preference>Direct Mail Orderers,US,Channel Preference,Direct Mail Orderers,,,,,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,yourgv.com,Yourgv,Google Ad Manager,Smartphone,21.00,0,8.00,17.00,10,"$1,877.18",,0,$187.72,"$89,389.70",0.00%,0.00%,47.06%
Mobile - US>Device Ownership>Tablets>iOS (Apple)>iPad PRO,Mobile - US,Device Ownership,Tablets,iOS (Apple),iPad PRO,,,300x50,Sign up Today - 10% Off,"South Bend-Elkhart,Indiana",South Bend-Elkhart,Indiana,nme.com,Nme,OpenX,Smartphone,581.00,0,237.00,559.00,3,"$1,865.20",,0,$621.73,"$3,210.33",0.00%,0.00%,42.40%
