Audience Segment,Audience1,Audience2,Audience3,Audience4,Audience5,Audience6,Audience7,Creative Size,Creative Messaging,Location,City,State,URL,Publisher,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Conversions,Gross Cost,322,CPC  (Gross Cost/Clicks),CPA (Cost/Conversions),CPM,CVR (Conversion/Clicks),CTR (Clicks/Impressions),Viewability
Online Behavior>United States>Food and Drink>Restaurants,Online Behavior,United States,Food and Drink,Restaurants,,,,300x250,Sign up Today - 10% Off,"Los Angeles,California",Los Angeles,California,mail.yahoo.com,Mail,Taboola,Smartphone,"908,899.00",204,"644,697.00","853,964.00",32,"$5,181.09",,$25.40,$161.91,$5.70,15.69%,0.02%,75.49%
US>Brand Propensities>Health>Beauty and Cosmetics>Beachbody Buyer Propensity,US,Brand Propensities,Health,Beauty and Cosmetics,Beachbody Buyer Propensity,,,320x50,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,nypost.com,Nypost,Google Ad Manager,Smartphone,"152,881.00",204,"94,895.00","145,113.00",11,"$1,496.67",,$7.34,$136.06,$9.79,5.39%,0.13%,65.39%
Online Behavior>United States>Autos and Vehicles>Brands>Porsche,Online Behavior,United States,Autos and Vehicles,Brands,Porsche,,,320x50,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,msn.com,Msn,OpenX,Smartphone,"3,196,231.00",203,"2,013,324.00","2,669,103.00",70,"$5,756.27",,$28.36,$82.23,$1.80,34.48%,0.01%,75.43%
Online Behavior>United States>The Changing Consumer>Data For Good>Current Affairs - Social Justice,Online Behavior,United States,The Changing Consumer,Data For Good,Current Affairs - Social Justice,,,320x50,Sign up Now - 10% Off,"New York City,New York",New York City,New York,mail.yahoo.com,Mail,Magnite DV+,Smartphone,"1,010,148.00",202,"699,834.00","955,905.00",31,"$7,788.70",,$38.56,$251.25,$7.71,15.35%,0.02%,73.21%
Online Behavior>United States>Sports>Team Sports>Rugby,Online Behavior,United States,Sports,Team Sports,Rugby,,,300x250,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,mail.yahoo.com,Mail,BidSwitch,Smartphone,"1,956,642.00",194,"981,461.00","1,731,673.00",106,"$7,730.24",,$39.85,$72.93,$3.95,54.64%,0.01%,56.68%
Online Behavior>United States>Life Event>College Applications,Online Behavior,United States,Life Event,College Applications,,,,320x50,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,yahoo.com,Yahoo,Xandr - Monetize SSP (AppNexus),Smartphone,"446,774.00",184,"163,786.00","374,116.00",12,"$7,248.23",,$39.39,$604.02,$16.22,6.52%,0.04%,43.78%
Online Behavior>United States>Food and Drink>Beverages>Soft Drinks,Online Behavior,United States,Food and Drink,Beverages,Soft Drinks,,,300x250,Sign up Today - 10% Off,"Knoxville,Tennessee",Knoxville,Tennessee,lotterypost.com,Lotterypost,Magnite DV+,Smartphone,"150,457.00",169,"58,372.00","135,099.00",14,"$5,906.83",,$34.95,$421.92,$39.26,8.28%,0.11%,43.21%
Online Behavior>United States>Food and Drink>Restaurants>Dining Guides,Online Behavior,United States,Food and Drink,Restaurants,Dining Guides,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,cnn.com,Cnn,Index Exchange,Smartphone,"116,926.00",166,"69,132.00","111,957.00",22,"$4,918.04",,$29.63,$223.55,$42.06,13.25%,0.14%,61.75%
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 25-44,Online Behavior,United States,Validated Demographic,Gender and Age Combined,Females 25-44,,,320x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,outlook.live.com,Outlook,BidSwitch,Smartphone,"264,580.00",143,"217,526.00","240,731.00",9,"$4,874.65",,$34.09,$541.63,$18.42,6.29%,0.05%,90.36%
Online Behavior>United States>Intent>Travel>Flights,Online Behavior,United States,Intent,Travel,Flights,,,300x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,nypost.com,Nypost,Xandr - Monetize SSP (AppNexus),Smartphone,"140,359.00",139,"76,130.00","133,578.00",26,"$6,094.67",,$43.85,$234.41,$43.42,18.71%,0.10%,56.99%
